name,age,country,year,sports,gold_medal,silver_medal,brone_medal,total_medal,Date
Misato Nakamura,19.0,Japan,2008,Judo,0,0,1,1,2008-08-24
Idalys Ortíz,18.0,Cuba,2008,Judo,0,0,1,1,2008-08-24
Ludwig Paischer,26.0,Austria,2008,Judo,0,1,0,1,2008-08-24
Pak Chol Min,25.0,North Korea,2008,Judo,0,0,1,1,2008-08-24
Paula Pareto,22.0,Argentina,2008,Judo,0,0,1,1,2008-08-24
Lucija Polavder,23.0,Slovenia,2008,Judo,0,0,1,1,2008-08-24
Stéphanie Possamai,28.0,France,2008,Judo,0,0,1,1,2008-08-24
Ketleyn Quadros,20.0,Brazil,2008,Judo,0,0,1,1,2008-08-24
Giulia Quintavalle,25.0,Italy,2008,Judo,1,0,0,1,2008-08-24
Teddy Riner,19.0,France,2008,Judo,0,0,1,1,2008-08-24
Ronda Rousey,21.0,United States,2008,Judo,0,0,1,1,2008-08-24
Rishod Sobirov,21.0,Uzbekistan,2008,Judo,0,0,1,1,2008-08-24
Ryoko Tamura Tani,32.0,Japan,2008,Judo,0,0,1,1,2008-08-24
Abdullo Tangriyev,27.0,Uzbekistan,2008,Judo,0,1,0,1,2008-08-24
Ayumi Tanimoto,27.0,Japan,2008,Judo,1,0,0,1,2008-08-24
Tong Wen,25.0,China,2008,Judo,1,0,0,1,2008-08-24
Irakli Tsirekidze,26.0,Georgia,2008,Judo,1,0,0,1,2008-08-24
Maki Tsukada,26.0,Japan,2008,Judo,0,1,0,1,2008-08-24
Masato Uchishiba,30.0,Japan,2008,Judo,1,0,0,1,2008-08-24
Masae Ueno,29.0,Japan,2008,Judo,1,0,0,1,2008-08-24
Wang Gi Chun,19.0,South Korea,2008,Judo,0,1,0,1,2008-08-24
Elisabeth Willeboordse,29.0,Netherlands,2008,Judo,0,0,1,1,2008-08-24
Won Ok Im,21.0,North Korea,2008,Judo,0,0,1,1,2008-08-24
Xian Dongmei,32.0,China,2008,Judo,1,0,0,1,2008-08-24
Xu Yan,26.0,China,2008,Judo,0,0,1,1,2008-08-24
Yang Xiuli,24.0,China,2008,Judo,1,0,0,1,2008-08-24
Askhat Zhitkeyev,27.0,Kazakhstan,2008,Judo,0,1,0,1,2008-08-24
Noriko Anno,28.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Yordanis Arencibia,24.0,Cuba,2004,Judo,0,0,1,1,2004-08-29
Daima Beltrán,31.0,Cuba,2004,Judo,0,1,0,1,2004-08-29
Annett Böhm,24.0,Germany,2004,Judo,0,0,1,1,2004-08-29
Yvonne Bönisch,23.0,Germany,2004,Judo,1,0,0,1,2004-08-29
Edith Bosch,24.0,Netherlands,2004,Judo,0,1,0,1,2004-08-29
Flávio Canto,29.0,Brazil,2004,Judo,0,0,1,1,2004-08-29
Choi Min Ho,23.0,South Korea,2004,Judo,0,0,1,1,2004-08-29
Tea Donguzashvili,28.0,Russia,2004,Judo,0,0,1,1,2004-08-29
Gao Feng,22.0,China,2004,Judo,0,0,1,1,2004-08-29
Georgi Georgiev,28.0,Bulgaria,2004,Judo,0,0,1,1,2004-08-29
Driulys González,30.0,Cuba,2004,Judo,0,0,1,1,2004-08-29
Deborah Gravenstijn,29.0,Netherlands,2004,Judo,0,0,1,1,2004-08-29
Leandro Guilheiro,21.0,Brazil,2004,Judo,0,0,1,1,2004-08-29
Claudia Heill,22.0,Austria,2004,Judo,0,1,0,1,2004-08-29
Ilse Heylen,27.0,Belgium,2004,Judo,0,0,1,1,2004-08-29
Roman Hontiuk,20.0,Ukraine,2004,Judo,0,1,0,1,2004-08-29
Mark Huizinga,30.0,Netherlands,2004,Judo,0,0,1,1,2004-08-29
Ilias Iliadis,17.0,Greece,2004,Judo,1,0,0,1,2004-08-29
Hiroshi Izumi,22.0,Japan,2004,Judo,0,1,0,1,2004-08-29
Jang Seong Ho,26.0,South Korea,2004,Judo,0,1,0,1,2004-08-29
Frédérique Jossinet,28.0,France,2004,Judo,0,1,0,1,2004-08-29
Michael Jurack,25.0,Germany,2004,Judo,0,0,1,1,2004-08-29
Khashbaataryn Tsagaanbaatar,20.0,Mongolia,2004,Judo,0,0,1,1,2004-08-29
Nest'or Khergiani,29.0,Georgia,2004,Judo,0,1,0,1,2004-08-29
Jozef Krnác,26.0,Slovakia,2004,Judo,0,1,0,1,2004-08-29
Kye Sun Hui,25.0,North Korea,2004,Judo,0,1,0,1,2004-08-29
Yurisel Laborde,25.0,Cuba,2004,Judo,0,0,1,1,2004-08-29
Lee Won Hui,23.0,South Korea,2004,Judo,1,0,0,1,2004-08-29
Liu Xia,25.0,China,2004,Judo,0,1,0,1,2004-08-29
Yurisleidy Lupetey,23.0,Cuba,2004,Judo,0,0,1,1,2004-08-29
Igor Makarov,25.0,Belarus,2004,Judo,1,0,0,1,2004-08-29
Vitaly Makarov,30.0,Russia,2004,Judo,0,1,0,1,2004-08-29
Julia Matijass,30.0,Germany,2004,Judo,0,0,1,1,2004-08-29
Lucia Morico,28.0,Italy,2004,Judo,0,0,1,1,2004-08-29
Tadahiro Nomura,29.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Dmitry Nosov,24.0,Russia,2004,Judo,0,0,1,1,2004-08-29
Jimmy Pedro,33.0,United States,2004,Judo,0,0,1,1,2004-08-29
Indrek Pertelson,33.0,Estonia,2004,Judo,0,0,1,1,2004-08-29
Qin Dongya,24.0,China,2004,Judo,0,0,1,1,2004-08-29
Amarilys Savón,30.0,Cuba,2004,Judo,0,0,1,1,2004-08-29
Sun Fuming,30.0,China,2004,Judo,0,0,1,1,2004-08-29
Keiji Suzuki,24.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Ryoko Tamura Tani,28.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Ayumi Tanimoto,23.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Khasanbi Taov,26.0,Russia,2004,Judo,0,0,1,1,2004-08-29
Tamerlan Tmenov,27.0,Russia,2004,Judo,0,1,0,1,2004-08-29
Maki Tsukada,22.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Masato Uchishiba,26.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Masae Ueno,25.0,Japan,2004,Judo,1,0,0,1,2004-08-29
Dennis van der Geest,29.0,Netherlands,2004,Judo,0,0,1,1,2004-08-29
Xian Dongmei,28.0,China,2004,Judo,1,0,0,1,2004-08-29
Yuki Yokosawa,23.0,Japan,2004,Judo,0,1,0,1,2004-08-29
Arik Ze'evi,27.0,Israel,2004,Judo,0,0,1,1,2004-08-29
Urška Žolnir,22.0,Slovenia,2004,Judo,0,0,1,1,2004-08-29
Zurab Zviadauri,23.0,Georgia,2004,Judo,1,0,0,1,2004-08-29
Daima Beltrán,28.0,Cuba,2000,Judo,0,1,0,1,2000-10-01
Larbi Ben Boudaoud,26.0,France,2000,Judo,0,1,0,1,2000-10-01
Lyubov Bruletova,26.0,Russia,2000,Judo,0,1,0,1,2000-10-01
Aleksei Budõlin,24.0,Estonia,2000,Judo,0,0,1,1,2000-10-01
Tiago Camilo,18.0,Brazil,2000,Judo,0,1,0,1,2000-10-01
Nuno Delgado,24.0,Portugal,2000,Judo,0,0,1,1,2000-10-01
Frédéric Demontfaucon,26.0,France,2000,Judo,0,0,1,1,2000-10-01
David Douillet,31.0,France,2000,Judo,1,0,0,1,2000-10-01
Isabel Fernández,28.0,Spain,2000,Judo,1,0,0,1,2000-10-01
Nicolas Gill,28.0,Canada,2000,Judo,0,1,0,1,2000-10-01
Girolamo Giovinazzo,32.0,Italy,2000,Judo,0,0,1,1,2000-10-01
Driulys González,26.0,Cuba,2000,Judo,0,1,0,1,2000-10-01
Anna Maria Gradante,23.0,Germany,2000,Judo,0,0,1,1,2000-10-01
Carlos Honorato,25.0,Brazil,2000,Judo,0,1,0,1,2000-10-01
Kate Howey,27.0,Great Britain,2000,Judo,0,1,0,1,2000-10-01
Mark Huizinga,27.0,Netherlands,2000,Judo,1,0,0,1,2000-10-01
Kosei Inoue,22.0,Japan,2000,Judo,1,0,0,1,2000-10-01
Jeong Seok Gyeong,22.0,South Korea,2000,Judo,0,1,0,1,2000-10-01
Jeong Seong Suk,28.0,South Korea,2000,Judo,0,0,1,1,2000-10-01
Jo In Cheol,24.0,South Korea,2000,Judo,0,1,0,1,2000-10-01
Jo Min Seon,28.0,South Korea,2000,Judo,0,0,1,1,2000-10-01
Kim Seon Yeong,21.0,South Korea,2000,Judo,0,0,1,1,2000-10-01
Kie Kusakabe,21.0,Japan,2000,Judo,0,0,1,1,2000-10-01
Kye Sun Hui,21.0,North Korea,2000,Judo,0,0,1,1,2000-10-01
Anatoly Laryukov,29.0,Belarus,2000,Judo,0,0,1,1,2000-10-01
Céline Lebrun,24.0,France,2000,Judo,0,1,0,1,2000-10-01
Li Shufang,21.0,China,2000,Judo,0,1,0,1,2000-10-01
Liu Yuxiang,24.0,China,2000,Judo,0,0,1,1,2000-10-01
Giuseppe Maddaloni,24.0,Italy,2000,Judo,1,0,0,1,2000-10-01
Ruslan Mashurenko,29.0,Ukraine,2000,Judo,0,0,1,1,2000-10-01
Tadahiro Nomura,25.0,Japan,2000,Judo,1,0,0,1,2000-10-01
Hüseyin Özkan,28.0,Turkey,2000,Judo,1,0,0,1,2000-10-01
Mária Pekli,28.0,Australia,2000,Judo,0,0,1,1,2000-10-01
Indrek Pertelson,29.0,Estonia,2000,Judo,0,0,1,1,2000-10-01
Emanuela Pierantozzi,32.0,Italy,2000,Judo,0,0,1,1,2000-10-01
Manolo Poulot,26.0,Cuba,2000,Judo,0,0,1,1,2000-10-01
Simona Richter,28.0,Romania,2000,Judo,0,0,1,1,2000-10-01
Ylenia Scapin,25.0,Italy,2000,Judo,0,0,1,1,2000-10-01
Shinichi Shinohara,27.0,Japan,2000,Judo,0,1,0,1,2000-10-01
Ann Simons,20.0,Belgium,2000,Judo,0,0,1,1,2000-10-01
Aydyn Smagulov,23.0,Kyrgyzstan,2000,Judo,0,0,1,1,2000-10-01
Yury Styopkin,28.0,Russia,2000,Judo,0,0,1,1,2000-10-01
Noriko Sugawara Narazaki,27.0,Japan,2000,Judo,0,1,0,1,2000-10-01
Makoto Takimoto,25.0,Japan,2000,Judo,1,0,0,1,2000-10-01
Ryoko Tamura Tani,25.0,Japan,2000,Judo,1,0,0,1,2000-10-01
Tang Lin,24.0,China,2000,Judo,1,0,0,1,2000-10-01
Tamerlan Tmenov,23.0,Russia,2000,Judo,0,0,1,1,2000-10-01
Stéphane Traineau,34.0,France,2000,Judo,0,0,1,1,2000-10-01
Gella Vandecaveye,27.0,Belgium,2000,Judo,0,0,1,1,2000-10-01
Séverine Vandenhende,26.0,France,2000,Judo,1,0,0,1,2000-10-01
Georgios Vazagkasvili,26.0,Georgia,2000,Judo,0,0,1,1,2000-10-01
Sibelis Veranes,26.0,Cuba,2000,Judo,1,0,0,1,2000-10-01
Legna Verdecia,27.0,Cuba,2000,Judo,1,0,0,1,2000-10-01
Mayumi Yamashita,24.0,Japan,2000,Judo,0,0,1,1,2000-10-01
Yuan Hua,26.0,China,2000,Judo,1,0,0,1,2000-10-01
Vsevolods Zelonijs,27.0,Latvia,2000,Judo,0,0,1,1,2000-10-01
Meghan Agosta,23.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Gillian Apps,26.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
David Backes,25.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Niklas Bäckström,32.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Kacey Bellamy,22.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Patrice Bergeron Cleary,24.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Tessa Bonhomme,24.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Jennifer Botterill,30.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Dan Boyle,33.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Martin Brodeur,37.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Dustin Brown,25.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Caitlin Cahow,24.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Ryan Callahan,24.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Lisa Chesson,23.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Julie Chu,27.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Sidney Crosby,22.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Natalie Darwitz,26.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Drew Doughty,20.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Chris Drury,33.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Meghan Duggan,22.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Molly Engstrom,26.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Valtteri Filppula,25.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Ryan Getzlaf,24.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Tim Gleason,27.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Niklas Hagman,30.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Dany Heatley,29.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Jayna Hefford,32.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Anne Helin,23.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Jenni Hiirikoski,22.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Venla Hovi,22.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Jarome Iginla,32.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Jarkko Immonen,27.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Haley Irwin,21.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Erik Johnson,21.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Jack Johnson,23.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Rebecca Johnston,20.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Olli Jokinen,31.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Patrick Kane,21.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Niko Kapanen,31.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Michelle Karvinen,19.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Duncan Keith,26.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Becky Kellar,35.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Ryan Kesler,25.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Phil Kessel,22.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Gina Kingsbury,28.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Miikka Kiprusoff,33.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Hilary Knight,20.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Mikko Koivu,26.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Saku Koivu,35.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Lasse Kukkonen,28.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Emma Laaksonen,28.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Charlie Labonté,27.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Jocelyne Lamoureux,20.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Monique Lamoureux,20.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Jamie Langenbrunner,34.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Erika Lawler,23.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Jere Lehtinen,36.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Sami Lepistö,25.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Rosa Lindstedt,22.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Roberto Luongo,30.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Toni Lydman,32.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Carla MacLeod,27.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Ryan Malone,30.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Patrick Marleau,30.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Gigi Marvin,22.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Brianne McLaughlin,22.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Terhi Mertanen,28.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Antti Miettinen,29.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Meaghan Mikkelson,25.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Ryan Miller,29.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Brenden Morrow,31.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Rick Nash,25.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Scott Niedermayer,36.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Janne Niskala,28.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Brooks Orpik,29.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Caroline Ouellette,30.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Zach Parise,25.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Joe Pavelski,25.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Ville Peltonen,36.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Heidi Pelttari,24.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Corey Perry,24.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Cherie Piper,28.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Joni Pitkänen,26.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Mariia Posa,21.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Marie Philip Poulin,18.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Chris Pronger,35.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Brian Rafalski,36.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Annina Rajahuhta,20.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Karoliina Rantamäki,31.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Noora Räty,20.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Mike Richards,25.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Angela Ruggiero,30.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Jarkko Ruutu,34.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Tuomo Ruutu,27.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Bobby Ryan,22.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Mari Saarinen,28.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Sami Salo,35.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Molly Schaus,21.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Jenny Schmidgall Potter,31.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Brent Seabrook,24.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Teemu Selänne,39.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Saija Sirviö,27.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Colleen Sostorics,30.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Kim St Pierre,31.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Eric Staal,25.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Kelli Stack,22.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Paul Stastny,24.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Ryan Suter,25.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Shannon Szabados,23.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Karen Thatcher,25.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Tim Thomas,35.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Joe Thornton,30.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Nina Tikkinen,23.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Kimmo Timonen,34.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Jonathan Toews,21.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Minnamari Tuominen,19.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Saara Tuominen,24.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Sarah Vaillancourt,24.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Linda Välimäki,19.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Jessie Vetter,24.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Marjo Voutilainen,28.0,Finland,2010,Ice Hockey,0,0,1,1,2010-02-28
Catherine Ward,22.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Shea Weber,24.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Kerry Weiland,29.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Ryan Whitney,26.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Hayley Wickenheiser,31.0,Canada,2010,Ice Hockey,1,0,0,1,2010-02-28
Jinelle Zaugg Siergiej,23.0,United States,2010,Ice Hockey,0,1,0,1,2010-02-28
Meghan Agosta,18.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Daniel Alfredsson,33.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Cecilia Andersson,23.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Gunilla Andersson,30.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Gillian Apps,22.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Jenni Asserholt,17.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Per Johan Axelsson,30.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Christian Bäckman,25.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Aki Berg,28.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Jennifer Botterill,26.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Jan Bulis,27.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Caitlin Cahow,20.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Petr Cajánek,30.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Cassie Campbell,32.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Julie Chu,23.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Natalie Darwitz,22.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Pam Dreyer,24.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Tricia Dunn Luoma,31.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Ann Louise Edstrand,30.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Joa Elfsberg,26.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Patrik Eliáš,29.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Emma Eliasson,16.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Molly Engstrom,22.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Martin Erat,24.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Gillian Ferrari,25.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Peter Forsberg,32.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Danielle Goyette,40.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Chanda Gunn,26.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Jamie Hagerman,24.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Niklas Hagman,26.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Mika Hannula,26.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Dominik Hašek,41.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Niclas Hävelid,32.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Jayna Hefford,28.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Milan Hejduk,30.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Aleš Hemský,22.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Jukka Hentunen,31.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Milan Hnilicka,32.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Tomas Holmström,33.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Erika Holst,26.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Kim Insalaco,25.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Jaromír Jágr,34.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Nanna Jansson,22.0,Sweden,2006,Ice Hockey,0,1,0,1,2006-02-26
Jussi Jokinen,22.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Olli Jokinen,27.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Jörgen Jönsson,33.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Kenny Jönsson,31.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
František Kaberle,32.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Tomáš Kaberle,27.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Niko Kapanen,27.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Kathleen Kauth,26.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Becky Kellar,31.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Courtney Kennedy,26.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Katie King,30.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Kristin King,26.0,United States,2006,Ice Hockey,0,0,1,1,2006-02-26
Gina Kingsbury,24.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Mikko Koivu,22.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Saku Koivu,31.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Aleš Kotalík,27.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Niklas Kronwall,25.0,Sweden,2006,Ice Hockey,1,0,0,1,2006-02-26
Filip Kuba,29.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Pavel Kubina,28.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
Lasse Kukkonen,24.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Antti Laaksonen,32.0,Finland,2006,Ice Hockey,0,1,0,1,2006-02-26
Charlie Labonté,23.0,Canada,2006,Ice Hockey,1,0,0,1,2006-02-26
Robert Lang,35.0,Czech Republic,2006,Ice Hockey,0,0,1,1,2006-02-26
